title,company,description,salary_min,salary_max
"2026 Wealth Management, Summer Data Analyst (~3 months)",Royal Bank of Canada,"Job Description What is the opportunity? The 2026 program is based in San Francisco CA and runs from June 01,2026 – August 14, 2026. RBC is one of the world’s leading diversified financial services companies, distinguished by a long heritage of financial strength, integrity and unwavering dedication to our clients. RBC Wealth Management’s business is financial advising. Our financial advisors and their teams serve our clients and grow our business across the country in our different branch offi…",82456.68,82456.68
Business Data Analytics Analyst,Mercor,"About the job Mercor connects elite creative and technical talent with leading AI research labs. Headquartered in San Francisco, our investors include Benchmark , General Catalyst , Peter Thiel , Adam D'Angelo , Larry Summers , and Jack Dorsey . Position: Product Operations Specialist (Technical) Type: Contract Compensation: $60–$80/hour Location: Remote Role Responsibilities Support program execution strategy for multiple products and platforms. Initiate 0 to 1 efforts, accelerate execution, a…",130897.68,130897.68
Data Integration Analyst III,Info Image,"Summary of Position: The Data Integration Analyst III is a senior technical resource responsible for leading complex and high‑risk onboarding efforts, architecting end‑to‑end integration solutions, and serving as the primary escalation point for data integration issues. This role provides department‑wide leadership in process improvement, documentation governance, and technical oversight, while mentoring DIA I and II team members to ensure scalable, consistent, and high‑quality client integrati…",116789.45,116789.45
Data Operations Analyst - Instawork Robotics,Instawork,"Instawork is on a mission to create meaningful economic opportunities for skilled hourly professionals in communities around the globe. Our AI-powered labor marketplace helps local businesses scale, and enables global technology companies to push the frontiers of robotics and AI. Backed by world-class investors like Benchmark, Spark Capital, Craft Ventures, Greylock, Y Combinator, and others, we’re looking for exceptional talent to reimagine the way the world works. Instawork’s on-demand labor …",100000.0,140000.0
Senior Data Engineer / Analyst (Remote – US),Recruiting From Scratch,"Senior Data Engineer / Analyst (Remote – US) Title of Role: Senior Data Engineer / Analyst (Remote – US) Location: New York, remote Company Stage of Funding: Series B — Enterprise, B2B, Data Office Type: Remote Salary: $180K–$220K Company Description We're representing a dynamic company that serves as an end-to-end market research partner, designed to address the toughest B2B questions with confidence. With a strong focus on data-driven insights, our client is committed to empowering businesses…",180000.0,220000.0
$XXX/45min Paid Market Research Study for CIO in the Finance Sector,Ivy Exec,"Market research studies are paid engagements Ivy Exec conducts with clients to get feedback on certain topics. For this study, we are looking for key decision-makers and technical professionals to talk about how their organizations are engaging in AI/ML-related technologies . This is a strictly confidential research interview and will abide by the ESOMAR International Code covering confidentiality and privacy . ESOMAR is the European Society for Opinion and Marketing Research. These discussions…",85493.56,85493.56
Turkish Data Quality Analyst - California based,Welo Data,"The Bridge Between Human Judgment and AI Excellence Are you an experienced QA professional who knows how to mentor others and maintain a high bar for data integrity? Welo Data is seeking Data Quality Analysts for Project Perseus . This isn't just about labeling; you are the Quality Gatekeeper . You will bridge the gap between our Data Labeling Associates (DLAs) and Team Leads, ensuring that human feedback for cutting-edge Arabic AI models is not only accurate but world-class. The Mission: Leadi…",145783.14,145783.14
French Data Quality Analyst - California based,Welo Data,"The Bridge Between Human Judgment and AI Excellence Are you an experienced QA professional who knows how to mentor others and maintain a high bar for data integrity? Welo Data is seeking Data Quality Analysts for Project Perseus . This isn't just about labeling; you are the Quality Gatekeeper . You will bridge the gap between our Data Labeling Associates (DLAs) and Team Leads, ensuring that human feedback for cutting-edge Arabic AI models is not only accurate but world-class. The Mission: Leadi…",175665.66,175665.66
Italian Data Quality Analyst - California based,Welo Data,"The Bridge Between Human Judgment and AI Excellence Are you an experienced QA professional who knows how to mentor others and maintain a high bar for data integrity? Welo Data is seeking Data Quality Analysts for Project Perseus . This isn't just about labeling; you are the Quality Gatekeeper . You will bridge the gap between our Data Labeling Associates (DLAs) and Team Leads, ensuring that human feedback for cutting-edge Arabic AI models is not only accurate but world-class. The Mission: Leadi…",151935.52,151935.52
Arabic Data Quality Analyst - California based,Welo Data,"The Bridge Between Human Judgment and AI Excellence Are you an experienced QA professional who knows how to mentor others and maintain a high bar for data integrity? Welo Data is seeking Data Quality Analysts for Project Perseus . This isn't just about labeling; you are the Quality Gatekeeper . You will bridge the gap between our Data Labeling Associates (DLAs) and Team Leads, ensuring that human feedback for cutting-edge Arabic AI models is not only accurate but world-class. The Mission: Leadi…",173396.2,173396.2
